Mark,Athlete,Nation,Venue,Date,Sex,Event
26:17.5,Kenenisa Bekele,ETH,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:20.3,Kenenisa Bekele,ETH,Ostrava,8-Jun-2004,male,10000m
26:22.7,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),1-Jun-1998,male,10000m
26:26.0,Kenenisa Bekele,ETH,"Eugene, OR",8-Jun-2008,male,10000m
26:27.9,Paul Tergat,KEN,Bruxelles,22-Aug-1997,male,10000m
26:28.7,Kenenisa Bekele,ETH,Hengelo,29-May-2005,male,10000m
26:29.2,Haile Gebrselassie,ETH,Bruxelles (Boudewijnstadion),5-Sep-2003,male,10000m
26:30.0,Nicholas Kemboi,KEN,Bruxelles (Boudewijnstadion),5-Sep-2003,male,10000m
26:30.7,Abebe Dinkesa,ETH,Hengelo,29-May-2005,male,10000m
26:31.3,Haile Gebrselassie,ETH,Oslo,4-Jul-1997,male,10000m
26:35.6,Micah Kipkemboi Kogo,KEN,Bruxelles (Boudewijnstadion),25-Aug-2006,male,10000m
26:36.3,Paul Kipsigich Koech,KEN,Bruxelles,22-Aug-1997,male,10000m
26:37.3,Zersenay Tadese,ERI,Bruxelles (Boudewijnstadion),25-Aug-2006,male,10000m
26:38.1,Salah Hissou,MAR,Bruxelles,23-Aug-1996,male,10000m
26:38.8,Ahmad Hassan Abdullah,QAT,Bruxelles (Boudewijnstadion),5-Sep-2003,male,10000m
26:39.7,Sileshi Sihine,ETH,Hengelo (Blankers-Koen Stadion),31-May-2004,male,10000m
26:39.8,Boniface Toroitich Kiprop,UGA,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:41.6,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),31-May-2004,male,10000m
26:41.8,Samuel Kamau Wanjiru,KEN,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:42.0,Boniface Toroitich Kiprop,UGA,Bruxelles (Boudewijnstadion),25-Aug-2006,male,10000m
26:43.2,Kenenisa Bekele,ETH,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:43.5,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),5-Jun-1995,male,10000m
26:44.0,Lucas Kimeli Rotich,KEN,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:44.4,Galen Rupp,USA,"Eugene (Hayward Field), OR",30-May-2014,male,10000m
26:46.2,Kenenisa Bekele,ETH,Bruxelles (Boudewijnstadion),14-Sep-2007,male,10000m
26:46.3,Kenenisa Bekele,ETH,Berlin (Olympiastadion),17-Aug-2009,male,10000m
26:46.4,Paul Tergat,KEN,Bruxelles,28-Aug-1998,male,10000m
26:46.6,Mohamed Farah,GBR,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:47.9,Paul Kipsigich Koech,KEN,Bruxelles,28-Aug-1998,male,10000m
26:48.0,Galen Rupp,USA,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:48.3,Imane Merga,ETH,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:48.7,Sileshi Sihine,ETH,Hengelo (Blankers-Koen Stadion),26-May-2007,male,10000m
26:49.0,Josphat Bett Kipkoech,KEN,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:49.0,Eliud Kipchoge,KEN,Hengelo (Blankers-Koen Stadion),26-May-2007,male,10000m
26:49.2,Moses Ndiema Masai,KEN,Bruxelles (Boudewijnstadion),14-Sep-2007,male,10000m
26:49.4,Sammy Kipketer Cheruiyot,KEN,Bruxelles,30-Aug-2002,male,10000m
26:49.4,Paul Kipngetich Tanui,KEN,"Eugene (Hayward Field), OR",30-May-2014,male,10000m
26:49.5,Moses Cheruiyot Mosop,KEN,Hengelo (Blankers-Koen Stadion),26-May-2007,male,10000m
26:49.6,Kenenisa Bekele,ETH,Paris Saint-Denis (Stade de France),24-Aug-2003,male,10000m
26:49.9,Assefa Mezgebu,ETH,Bruxelles,30-Aug-2002,male,10000m
26:50.1,Zersenay Tadese,ERI,Berlin (Olympiastadion),17-Aug-2009,male,10000m
26:50.2,Richard Kipkemei Limo,KEN,Bruxelles,30-Aug-2002,male,10000m
26:50.5,Sileshi Sihine,ETH,Hengelo (Blankers-Koen Stadion),24-May-2008,male,10000m
26:50.6,Paul Kipngetich Tanui,KEN,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:50.7,Ahmad Hassan Abdullah,KEN,Bruxelles,30-Aug-2002,male,10000m
26:50.8,Haile Gebrselassie,ETH,Paris Saint-Denis (Stade de France),24-Aug-2003,male,10000m
26:51.0,Mohamed Farah,GBR,"Eugene (Hayward Field), OR",29-May-2015,male,10000m
26:51.0,Dejen Gebremeskel,ETH,Sollentuna,27-Jun-2013,male,10000m
26:51.1,Zersenay Tadese,ERI,"Eugene (Hayward Field), OR",3-Jun-2011,male,10000m
26:51.1,Yigrem Demelash,ETH,Hengelo (Blankers-Koen Stadion),29-Jun-2016,male,10000m
26:51.2,Emmanuel Kipkemei Bett,KEN,Bruxelles (Boudewijnstadion),7-Sep-2012,male,10000m
26:51.2,Haile Gebrselassie,ETH,Hengelo (Blankers-Koen Stadion),24-May-2008,male,10000m
26:51.5,Charles Waweru Kamathi,KEN,Bruxelles,3-Sep-1999,male,10000m
26:51.7,Vincent Kiprop Chepkok,KEN,Bruxelles (Boudewijnstadion),7-Sep-2012,male,10000m
26:51.9,Paul Kipngetich Tanui,KEN,"Eugene (Hayward Field), OR",29-May-2015,male,10000m
26:51.9,Nicholas Kemboi,QAT,Bruxelles (Boudewijnstadion),26-Aug-2005,male,10000m
26:52.0,Emmanuel Kipkemei Bett,KEN,Bruxelles (Boudewijnstadion),16-Sep-2011,male,10000m
26:52.2,William Sigei,KEN,Oslo (Bislett),22-Jul-1994,male,10000m
26:52.3,Mohammed Mourhit,BEL,Bruxelles,3-Sep-1999,male,10000m
