Site,Oldest,Newest,SampleCount,AvgDaysBetween
125th St. Pier,2006-10-02,2013-10-16,66,38.9545454545
79th St. mid-channel,2006-09-26,2013-10-16,49,52.5918367347
Albany Rowing Dock,2008-05-22,2013-10-21,36,54.9444444444
Annesville Creek,2008-05-20,2013-10-17,38,52.0
Athens,2008-06-18,2013-10-21,35,55.7428571429
Beacon Harbor,2008-05-21,2013-10-18,38,52.0
Bethlehem Launch Ramp,2008-05-22,2013-10-21,36,54.9444444444
"Castle Point, NJ",2008-05-19,2013-10-16,39,50.6666666667
Castleton,2008-06-19,2013-10-21,35,55.7142857143
Catskill Creek- East End,2008-05-22,2013-10-20,42,47.0714285714
Catskill Creek- First Bridge,2008-05-22,2013-10-20,38,52.0263157895
Catskill Launch Ramp,2008-05-22,2013-10-20,37,53.4324324324
Cedar Pond Brook,2006-10-20,2013-10-17,47,54.3404255319
Coeymans Landing,2008-05-22,2013-10-21,36,54.9444444444
Cold Spring Harbor,2008-06-17,2013-10-18,35,55.6857142857
Congress St. Bridge- Troy,2008-05-22,2013-10-21,38,52.0526315789
Coxsackie Waterfront Park,2008-06-18,2013-10-21,35,55.7428571429
Croton Point Beach,2006-09-19,2013-10-17,48,53.8541666667
Dunn Memorial Bridge- Albany,2008-05-22,2013-10-21,38,52.0526315789
Dyckman Street Beach,2008-05-19,2013-10-16,38,52.0
East River mid-channel at 23rd St.,2007-04-18,2013-10-16,50,47.46
East River mid-channel at Roosevelt Is.,2006-09-26,2013-10-16,48,53.6875
Emeline Beach- Haverstraw,2008-05-20,2013-10-17,38,52.0
Esopus Creek Entrance,2008-05-21,2013-10-20,43,46.0
Esopus Creek West,2008-05-21,2013-10-20,42,47.0952380952
Fort Montgomery,2008-05-20,2013-10-18,36,54.9166666667
Furnace Brook,2006-09-19,2013-10-17,48,53.8541666667
GW Bridge mid-channel,2006-09-26,2013-10-16,49,52.5918367347
Gay's Point mid-channel,2008-07-17,2013-10-21,36,53.3888888889
Gowanus Canal,2007-04-18,2013-10-16,37,64.1351351351
Harlem River- Washington Bridge,2006-09-26,2013-10-16,47,54.829787234
Harlem River- Willis Ave. Bridge,2006-09-26,2013-10-16,47,54.829787234
Haverstraw Bay mid-channel,2006-09-19,2013-10-17,48,53.8541666667
Hudson Landing Ramp,2008-05-22,2013-10-21,37,53.4594594595
Hudson River above Troy Lock,2008-05-22,2013-10-21,37,53.4594594595
Hudson above Mohawk River,2008-05-22,2013-10-21,35,56.5142857143
Inbocht Bay,2008-05-22,2013-10-20,36,54.9166666667
Irvington Beach,2008-07-20,2013-10-17,36,53.1944444444
Island Creek/Normans Kill,2008-06-19,2013-10-21,35,55.7142857143
Kingsland Pt. Park- Pocantico River,2008-07-20,2013-10-17,42,45.5952380952
Kingston Point Beach,2008-05-21,2013-10-19,43,45.976744186
Kingston STP Outfall,2008-05-21,2013-10-20,40,49.45
Little Stony Point,2008-05-21,2013-10-18,38,52.0
Malden Launch Ramp,2008-05-22,2013-10-20,36,54.9166666667
Marlboro Landing,2008-06-17,2013-10-19,35,55.7142857143
Mohawk River at Waterford,2008-05-22,2013-10-21,35,56.5142857143
Newburgh Launch Ramp,2008-05-21,2013-10-18,38,52.0
Newtown Creek- Dutch Kills,2006-09-26,2013-10-16,57,45.2105263158
Newtown Creek- Metropolitan Ave. Bridge,2006-09-26,2013-10-16,57,45.2105263158
Norrie Point Yacht Basin,2008-05-21,2013-10-19,36,54.9166666667
Norrie Point mid-channel,2008-05-21,2013-10-19,36,54.9166666667
North River STP at 145th,2006-09-26,2013-10-16,47,54.829787234
Nyack Launch Ramp,2008-06-16,2013-10-17,61,31.9508196721
Orangetown STP Outfall,2006-09-26,2013-10-17,57,45.2280701754
Ossining Beach,2006-09-19,2013-10-17,47,55.0
Peekskill Riverfront Green Park,2007-05-21,2013-10-17,42,55.7380952381
Pier 96 Kayak Launch,2008-05-19,2013-10-16,39,50.6666666667
Piermont Pier,2006-10-17,2013-10-17,187,13.6737967914
Port Ewen Drinking Water Intake,2008-05-21,2013-10-19,37,53.4324324324
Poughkeepsie Drinking Water Intake,2008-05-21,2013-10-19,38,52.0263157895
Poughkeepsie Launch Ramp,2008-05-21,2013-10-19,37,53.4324324324
Rondout- Eddyville Anchorage,2008-05-21,2013-10-19,45,43.9333333333
Rondout- Kingston Public Dock,2008-05-21,2013-10-19,39,50.6923076923
Saw Mill River,2006-11-10,2013-10-16,50,50.64
Stony Point mid-channel,2006-09-19,2013-10-17,44,58.75
TZ Bridge mid-channel,2006-09-26,2013-10-17,57,45.2280701754
Tarrytown Marina,2008-08-06,2013-10-17,27,70.2962962963
The Battery mid-channel,2006-09-26,2013-10-16,49,52.5918367347
Tivoli Landing,2008-05-21,2013-10-20,37,53.4594594595
Ulster Landing Beach,2008-05-21,2013-10-20,36,54.9444444444
Upper Sparkill Creek,2006-10-13,2012-12-10,165,13.6363636364
Wappingers Creek,2008-06-17,2013-10-19,35,55.7142857143
West Point STP Outfall,2008-05-21,2013-10-18,36,54.8888888889
Yonkers STP Outfall,2006-09-26,2013-10-16,51,50.5294117647
Yonkers mid-channel,2006-09-26,2013-10-16,52,49.5576923077
