Site,EnteroCount
Poughkeepsie Drinking Water Intake,9.45454545455
Marlboro Landing,16.4705882353
Poughkeepsie Launch Ramp,17.6756756757
Little Stony Point,20.0303030303
Croton Point Beach,20.48
Fort Montgomery,22.1176470588
Cold Spring Harbor,23.1764705882
Stony Point mid-channel,23.4583333333
West Point STP Outfall,26.875
Haverstraw Bay mid-channel,28.1739130435
Wappingers Creek,30.0571428571
Tivoli Landing,30.5151515152
Kingston Point Beach,31.2619047619
TZ Bridge mid-channel,38.347826087
Dyckman Street Beach,40.76
Yonkers mid-channel,42.5416666667
The Battery mid-channel,46.5925925926
Norrie Point mid-channel,47.6666666667
"Castle Point, NJ",49.1111111111
Irvington Beach,52.3125
Beacon Harbor,54.0540540541
Pier 96 Kayak Launch,59.0833333333
Norrie Point Yacht Basin,63.3428571429
Inbocht Bay,64.0
79th St. mid-channel,68.8064516129
Catskill Launch Ramp,68.8333333333
East River mid-channel at 23rd St.,68.9
East River mid-channel at Roosevelt Is.,73.3103448276
Port Ewen Drinking Water Intake,76.4
GW Bridge mid-channel,94.3214285714
Hudson above Mohawk River,96.3548387097
Yonkers STP Outfall,98.0303030303
Esopus Creek Entrance,104.41025641
Malden Launch Ramp,107.555555556
Annesville Creek,109.642857143
Ulster Landing Beach,109.806451613
Rondout- Eddyville Anchorage,111.285714286
Hudson Landing Ramp,112.416666667
Esopus Creek West,120.789473684
Nyack Launch Ramp,136.02173913
Athens,136.058823529
Harlem River- Washington Bridge,148.525
Catskill Creek- East End,153.3
Albany Rowing Dock,155.117647059
Bethlehem Launch Ramp,169.171428571
Coxsackie Waterfront Park,175.441176471
Congress St. Bridge- Troy,188.594594595
Castleton,191.441176471
Coeymans Landing,191.857142857
Gay's Point mid-channel,193.888888889
Rondout- Kingston Public Dock,199.702702703
125th St. Pier,217.407407407
North River STP at 145th,239.102564103
Peekskill Riverfront Green Park,242.6875
Dunn Memorial Bridge- Albany,243.416666667
Island Creek/Normans Kill,245.4375
Catskill Creek- First Bridge,248.810810811
Furnace Brook,253.78125
Harlem River- Willis Ave. Bridge,273.25
Hudson River above Troy Lock,273.527777778
Cedar Pond Brook,288.625
Ossining Beach,308.612903226
Kingston STP Outfall,323.918918919
Newburgh Launch Ramp,351.052631579
Emeline Beach- Haverstraw,466.125
Orangetown STP Outfall,508.604166667
Mohawk River at Waterford,512.03030303
Tarrytown Marina,529.571428571
Newtown Creek- Dutch Kills,529.684210526
Newtown Creek- Metropolitan Ave. Bridge,537.302325581
Piermont Pier,545.121212121
Kingsland Pt. Park- Pocantico River,573.5
Upper Sparkill Creek,818.601398601
Saw Mill River,1055.69565217
Gowanus Canal,1384.12
