,EnteroCount,FourDayRainTotal
0,1733.0,1.5
1,4.0,0.2
2,20.0,0.0
3,6.0,0.0
4,31.0,0.0
5,238.0,1.2
6,23.0,1.4
7,11.0,0.1
8,15.0,0.3
9,6.0,0.2
10,10.0,0.2
11,11.0,0.0
12,30.0,1.4
13,11.0,0.1
14,231.0,0.4
15,11.0,0.3
16,11.0,2.1
17,91.0,1.6
18,,1.3
19,15.0,0.0
20,25.0,0.2
21,31.0,0.7
22,12.0,0.2
23,,0.0
24,4.0,0.0
25,28.0,0.0
26,276.0,2.8
27,,1.9
28,6.0,0.5
29,,0.3
30,6.0,0.0
31,41.0,1.5
32,15.0,0.1
33,12.0,1.4
34,23.0,0.2
35,479.0,0.2
36,,0.2
37,27.0,1.4
38,50.0,0.2
39,130.0,0.2
40,830.0,0.0
41,1733.0,0.0
42,64.0,0.0
43,1300.0,1.4
44,461.0,1.2
45,770.0,1.4
46,1300.0,0.1
47,461.0,0.3
48,21.0,0.1
49,1023.0,0.2
50,238.0,0.0
51,2420.0,1.5
52,68.0,0.1
53,142.0,0.4
54,33.0,0.3
55,4.0,2.1
56,96.0,1.6
57,128.0,1.3
58,12.0,1.5
59,26.0,0.2
60,117.0,0.0
61,42.0,0.7
62,32.0,0.0
63,416.0,0.0
64,1986.0,2.8
65,2420.0,1.9
66,48.0,0.5
67,12.0,0.3
68,8.0,0.0
69,,0.0
70,22.0,0.0
71,727.0,0.4
72,45.0,1.4
73,17.0,0.1
74,42.0,1.5
75,11.0,0.0
76,4.0,0.3
77,54.0,0.5
78,272.0,0.6
79,,1.9
80,260.0,2.8
81,99.0,0.0
82,41.0,0.0
83,30.0,0.0
84,117.0,0.2
85,199.0,0.0
86,387.0,0.2
87,579.0,0.7
88,67.0,0.2
89,345.0,0.6
90,32.0,0.0
91,1986.0,1.3
92,96.0,1.6
93,63.0,2.1
94,108.0,0.3
95,34.0,0.2
96,72.0,0.1
97,1553.0,1.5
98,96.0,0.0
99,49.0,0.2
100,28.0,0.2
101,33.0,0.3
102,64.0,0.1
103,65.0,1.4
104,67.0,0.0
105,980.0,1.2
106,1203.0,1.4
107,40.0,0.0
108,24.0,0.2
109,56.0,1.4
110,30.0,0.0
111,1300.0,1.2
112,56.0,1.4
113,61.0,0.1
114,7.0,0.3
115,6.0,0.2
116,20.0,0.2
117,18.0,0.5
118,24.0,0.0
119,1414.0,1.5
120,50.0,0.1
121,36.0,0.2
122,435.0,0.4
123,219.0,0.3
124,17.0,2.1
125,81.0,1.6
126,525.0,1.3
127,31.0,0.0
128,727.0,0.6
129,84.0,0.2
130,50.0,0.7
131,602.0,0.2
132,28.0,0.0
133,96.0,0.0
134,190.0,2.8
135,,1.9
136,46.0,0.6
137,35.0,0.5
138,7.0,0.3
139,47.0,0.0
140,26.0,1.5
141,38.0,0.1
142,33.0,0.0
143,108.0,0.0
144,411.0,1.4
145,139.0,0.2
146,143.0,1.4
147,45.0,0.2
148,201.0,0.0
149,3.0,0.3
150,88.0,0.5
151,42.0,0.6
152,,1.9
153,161.0,2.8
154,39.0,0.0
155,25.0,0.0
156,7.0,0.0
157,12.0,0.1
158,21.0,0.2
159,82.0,0.0
160,921.0,1.3
161,687.0,1.6
162,31.0,2.1
163,82.0,0.3
164,687.0,0.4
165,59.0,0.1
166,,1.5
167,40.0,1.5
168,53.0,0.2
169,18.0,0.2
170,12.0,0.3
171,21.0,0.1
172,81.0,1.4
173,1300.0,1.2
174,75.0,1.4
175,36.0,0.0
176,40.0,0.0
177,30.0,0.2
178,51.0,0.7
179,20.0,0.0
180,22.0,0.0
181,17.0,0.2
182,32.0,0.2
183,20.0,1.5
184,134.0,0.2
185,46.0,0.0
186,29.0,0.0
187,19.0,0.0
188,1553.0,1.4
189,1553.0,1.2
190,411.0,1.4
191,211.0,0.1
192,17.0,0.3
193,179.0,0.7
194,3.0,0.2
195,187.0,0.0
196,,1.5
197,687.0,0.1
198,34.0,0.4
199,76.0,0.3
200,84.0,2.1
201,770.0,1.6
202,488.0,1.3
203,88.0,0.0
204,488.0,0.6
205,59.0,1.4
206,25.0,0.2
207,6.0,0.1
208,135.0,0.2
209,980.0,0.0
210,49.0,0.0
211,43.0,0.0
212,76.0,2.8
213,,1.9
214,32.0,0.6
215,84.0,0.5
216,88.0,0.5
217,10.0,0.3
218,50.0,0.0
219,16.0,0.0
220,33.0,0.0
221,19.0,0.0
222,32.0,0.0
223,40.0,1.4
224,1046.0,1.2
225,146.0,1.4
226,13.0,0.1
227,22.0,0.3
228,11.0,0.2
229,29.0,0.2
230,,1.5
231,93.0,0.1
232,866.0,0.4
233,30.0,0.3
234,1733.0,1.6
235,,1.3
236,104.0,0.0
237,20.0,0.2
238,122.0,0.7
239,137.0,0.2
240,613.0,1.5
241,12.0,0.1
242,23.0,0.0
243,163.0,2.8
244,,1.9
