Site,SampleCount
Piermont Pier,187
Upper Sparkill Creek,165
125th St. Pier,66
Nyack Launch Ramp,61
Newtown Creek- Dutch Kills,57
TZ Bridge mid-channel,57
Orangetown STP Outfall,57
Newtown Creek- Metropolitan Ave. Bridge,57
Yonkers mid-channel,52
Yonkers STP Outfall,51
Saw Mill River,50
East River mid-channel at 23rd St.,50
The Battery mid-channel,49
GW Bridge mid-channel,49
79th St. mid-channel,49
Haverstraw Bay mid-channel,48
Furnace Brook,48
Croton Point Beach,48
East River mid-channel at Roosevelt Is.,48
Harlem River- Washington Bridge,47
Cedar Pond Brook,47
Ossining Beach,47
North River STP at 145th,47
Harlem River- Willis Ave. Bridge,47
Rondout- Eddyville Anchorage,45
Stony Point mid-channel,44
Esopus Creek Entrance,43
Kingston Point Beach,43
Kingsland Pt. Park- Pocantico River,42
Catskill Creek- East End,42
Peekskill Riverfront Green Park,42
Esopus Creek West,42
Kingston STP Outfall,40
"Castle Point, NJ",39
Rondout- Kingston Public Dock,39
Pier 96 Kayak Launch,39
Beacon Harbor,38
Poughkeepsie Drinking Water Intake,38
Newburgh Launch Ramp,38
Catskill Creek- First Bridge,38
Annesville Creek,38
Little Stony Point,38
Congress St. Bridge- Troy,38
Dunn Memorial Bridge- Albany,38
Dyckman Street Beach,38
Emeline Beach- Haverstraw,38
Port Ewen Drinking Water Intake,37
Catskill Launch Ramp,37
Tivoli Landing,37
Hudson River above Troy Lock,37
Hudson Landing Ramp,37
Gowanus Canal,37
Poughkeepsie Launch Ramp,37
Malden Launch Ramp,36
West Point STP Outfall,36
Albany Rowing Dock,36
Ulster Landing Beach,36
Coeymans Landing,36
Irvington Beach,36
Fort Montgomery,36
Gay's Point mid-channel,36
Bethlehem Launch Ramp,36
Norrie Point mid-channel,36
Norrie Point Yacht Basin,36
Inbocht Bay,36
Athens,35
Coxsackie Waterfront Park,35
Cold Spring Harbor,35
Hudson above Mohawk River,35
Castleton,35
Wappingers Creek,35
Mohawk River at Waterford,35
Marlboro Landing,35
Island Creek/Normans Kill,35
Tarrytown Marina,27
